City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
419,brae,96,GB,1584413072,81,60.4,-1.35,44.6,24.16
420,cuamba,22,MZ,1584413073,98,-14.8,36.54,64.69,2.46
421,nador,0,MA,1584413073,57,35.17,-2.93,51.8,2.24
422,matai,95,TZ,1584413073,94,-8.3,31.52,60.12,2.15
423,bachaquero,100,VE,1584413073,69,9.97,-71.15,77.29,2.93
424,røros,100,NO,1584413074,93,62.57,11.38,32.0,12.75
425,batagay,95,RU,1584413074,88,67.63,134.63,3.13,3.0
426,gladstone,40,AU,1584413074,42,-23.85,151.25,82.4,11.41
427,saravan,75,AM,1584413074,75,39.72,45.65,44.6,16.11
428,hervey bay,75,AU,1584413074,47,-25.3,152.85,82.99,14.99
429,blagoyevo,100,RU,1584413074,89,63.37,47.92,24.1,10.63
430,tilichiki,100,RU,1584413075,86,60.47,166.1,30.16,13.76
431,doha,1,QA,1584412908,83,25.29,51.53,73.0,4.7
432,sabha,0,LY,1584413075,44,27.04,14.43,61.88,14.72
433,noumea,90,NC,1584413075,61,-22.28,166.46,84.0,12.75
434,ixtapa,20,MX,1584413075,78,20.7,-105.2,77.0,3.36
435,isangel,90,VU,1584413075,74,-19.55,169.27,86.0,11.41
436,ouallam,94,NE,1584413076,11,14.32,2.09,80.24,11.34
437,rozhyshche,100,UA,1584413076,80,50.92,25.27,38.14,10.36
438,baghdad,27,IQ,1584412817,93,33.34,44.4,59.0,5.82
439,nagato,75,JP,1584413076,57,34.38,131.2,57.2,6.93
440,obzor,0,BG,1584413076,86,42.82,27.88,33.01,3.36
441,coffs harbour,75,AU,1584413077,88,-30.3,153.13,73.4,12.75
442,vanimo,100,PG,1584413077,74,-2.67,141.3,81.61,5.28
443,whitehorse,20,CA,1584413077,31,60.72,-135.05,35.6,9.17
444,medininagar,81,IN,1584413077,38,24.03,84.07,73.99,2.24
445,gua musang,15,MY,1584413077,54,4.88,101.96,86.67,2.1
446,balikpapan,20,ID,1584413077,66,-1.27,116.83,87.8,11.41
447,ürümqi,100,CN,1584413078,42,43.8,87.6,46.4,4.47
448,tekeli,100,KZ,1584413078,44,44.83,78.82,37.49,6.02
449,saint-augustin,0,CA,1584412983,86,51.23,-58.65,10.49,8.95
450,tiznit province,0,MA,1584413078,69,29.58,-9.5,49.32,2.28
451,nālūt,51,LY,1584413079,70,30.33,10.85,56.41,24.99
452,scarborough,100,GB,1584413079,81,54.28,-0.4,46.4,9.17
453,mandera,97,KE,1584413079,72,3.94,41.87,78.4,10.58
454,raja,66,SS,1584413079,21,8.46,25.68,69.49,0.45
455,hamilton,90,US,1584412875,75,39.18,-84.53,46.4,4.81
456,palmer,40,US,1584412793,75,42.16,-72.33,34.0,12.75
457,atherton,90,GB,1584413019,81,53.52,-2.49,50.0,11.41
458,são joão da barra,47,BR,1584412828,86,-21.64,-41.05,78.46,15.97
459,tuatapere,1,NZ,1584412787,76,-46.13,167.68,52.0,3.0
460,tessalit,28,ML,1584413081,9,20.2,1.01,74.41,7.52
461,ikot ekpene,100,NG,1584413081,83,5.18,7.71,80.51,2.82
462,dobson,40,US,1584413081,93,36.4,-80.72,50.0,1.57
463,nampula,20,MZ,1584413081,94,-15.12,39.27,71.6,6.93
464,bulnes,91,CL,1584413082,55,-36.74,-72.3,64.4,5.82
465,hirara,20,JP,1584413082,53,24.8,125.28,71.6,6.93
466,berlevåg,100,NO,1584413082,76,70.86,29.09,26.92,36.82
467,berevoeşti,0,RO,1584413082,62,45.23,24.92,30.38,3.15
468,monte patria,0,CL,1584413082,89,-30.69,-70.95,49.96,0.78
469,auburn,1,US,1584413082,45,47.31,-122.23,50.0,3.06
470,yaan,100,NG,1584413083,76,7.38,8.57,80.65,8.14
471,metro,46,ID,1584413083,71,-5.11,105.31,84.87,7.4
472,westport,90,US,1584412895,64,41.14,-73.36,42.01,9.17
473,santa marta,92,CO,1584413083,81,11.24,-74.2,78.01,7.31
474,maceió,75,BR,1584413083,94,-9.67,-35.74,75.2,3.36
475,mariehamn,97,AX,1584413083,68,60.1,19.93,32.0,13.87
476,dandong,0,CN,1584412838,52,40.13,124.39,45.45,6.06
477,soyo,100,AO,1584413085,88,-6.13,12.37,78.91,3.49
478,praia,20,CV,1584413085,68,14.92,-23.51,68.0,14.99
479,mocuba,75,MZ,1584413085,98,-16.84,36.99,70.79,3.94
480,novoye leushino,100,RU,1584413085,78,56.81,40.51,31.55,10.04
481,morris,90,US,1584413063,65,40.83,-74.53,42.01,8.05
482,husavik,90,IS,1584413086,90,66.04,-17.34,33.8,703.07
483,bariloche,20,AR,1584412854,71,-41.15,-71.31,53.6,9.17
484,fairbanks,90,US,1584412799,95,64.84,-147.72,33.8,3.36
485,luba,20,GQ,1584413086,94,3.46,8.55,82.4,6.93
486,ketchikan,1,US,1584412838,60,55.34,-131.65,44.6,13.87
487,kurchum,50,KZ,1584413087,76,48.57,83.65,29.21,1.23
488,lysyanka,100,UA,1584413087,55,49.25,30.83,33.51,10.85
489,hīt,28,IQ,1584413087,54,33.64,42.83,63.72,8.52
490,aktau,96,KZ,1584412890,92,43.65,51.2,30.2,6.71
491,ibb,64,YE,1584413088,77,13.97,44.18,66.97,1.25
492,wynyard,93,AU,1584413088,70,-41.0,145.72,66.99,8.99
493,vila velha,20,BR,1584412820,88,-20.33,-40.29,78.01,4.7
494,paamiut,0,GL,1584413088,48,61.99,-49.67,-0.8,10.8
495,vilcún,5,CL,1584413088,87,-38.65,-72.23,55.4,3.36
496,rio negrinho,100,BR,1584413089,93,-26.25,-49.52,72.0,1.99
497,guerrero negro,100,MX,1584412888,69,27.98,-114.06,60.04,13.91
498,pativilca,99,PE,1584413089,87,-10.7,-77.78,72.99,9.24
499,dudinka,100,RU,1584413089,76,69.41,86.18,-7.6,13.42
500,andenes,100,NO,1584413089,77,69.31,16.12,32.0,14.99
501,sept-îles,20,CA,1584412977,70,50.2,-66.38,6.01,4.7
502,kimbe,100,PG,1584413090,60,-5.55,150.14,87.85,6.76
503,banda aceh,24,ID,1584413090,66,5.56,95.32,85.1,5.88
